,rent,endereco,rooms,bathroom,parking,area
35,2850, Rua Doutor Egydio Martins  ,1,1,1,50
36,4100,                Gonzaga Santos ,2,3,2,148
37,1100,                Rua Pindorama  ,1,1,1,50
38,2500,                Avenida Presidente Wilson  ,2,1,2,70
39,2300,                Avenida Ana Costa ,2,1,2,59
40,1200,                Rua Ricardo Pinto  ,1,1,1,37
41,2300,                Marapé Santos ,2,2,2,64
42,2300,                Rua Doutor Luís de Faria  ,2,1,2,90
43,2200,                Avenida Presidente Wilson ,2,1,2,50
44,2200,                Avenida Siqueira Campos ,3,2,3,95
45,1600,                Avenida Prefeito Doutor Antônio Manoel de Carvalho  ,2,1,2,55
46,2800,                Rua Doutor Galeão Carvalhal ,2,2,2,110
47,3800,                Avenida Washington Luiz  ,3,3,3,330
48,3500,                Rua Oswaldo Cruz ,3,1,3,130
49,1500,                Rua Pereira Barreto ,1,1,1,50
50,3600,                Avenida Marechal Floriano Peixoto  ,2,2,2,65
51,4600,                Rua Brigadeiro Galvão ,3,3,3,111
52,2100,                Rua Gonçalves Ledo  ,2,2,2,60
53,1750,                Ponta da Praia Santos ,1,1,1,50
54,3500,                Rua Inglaterra  ,3,3,3,130
55,2300,                Rua Doutor Cezário da Motta  ,2,3,2,210
56,2800,                Rua Godofredo Fraga ,2,2,2,62
57,5000,                Rua Euclides da Cunha ,3,2,3,87
58,2600,                Rua General Jardim  ,2,2,2,120
59,5000,                Rua Euclides da Cunha ,3,2,3,87
60,2900,                Gonzaga Santos ,2,3,2,125
61,1500,                Avenida Vicente de Carvalho  ,1,1,1,60
62,12000,                Avenida Doutor Epitácio Pessoa ,4,5,4,204
63,2500,                Rua Marcelo Ribeiro de Mendonça ,2,2,2,62
64,1650,                Avenida Afonso Pena  ,2,1,2,65
65,2000,                Rua Bassim Nagib Trabulsi  ,1,1,1,52
66,2800,                Marapé Santos ,3,2,3,83
67,2100,                Avenida Presidente Wilson ,2,1,2,60
68,2950,                Avenida Doutor Moura Ribeiro  ,3,2,3,84
69,3500,                Rua Tolentino Filgueiras  ,1,1,1,52
70,3400,                Rua Tolentino Filgueiras  ,3,2,3,105
71,3340,                Rua José Caballero  ,2,2,2,80
72,4500,                Avenida Barão de Penedo ,3,3,3,100
73,3000,                Boqueirão Santos ,3,3,3,95
74,2600,                Aparecida Santos ,2,2,2,54
75,5000,                Vila Mathias Santos ,3,5,3,171
76,2600,                Avenida Presidente Wilson ,2,1,2,45
77,1850,                Avenida Governador Fernando Costa  ,2,2,2,85
78,7500,                Avenida Doutor Epitácio Pessoa  ,3,5,3,158
79,2800,                Rua Doutor Itapura de Miranda ,1,1,1,56
80,4800,                Rua Guaiaó ,1,2,1,91
81,3200,                Rua Dona Maria Máximo ,3,3,3,93
82,2010,                Aparecida Santos ,2,2,2,80
83,6800,                Rua Marcelo Ribeiro de Mendonça ,3,4,3,167
84,2200,                Marapé Santos ,2,2,2,64
85,2200,                Rua Monsenhor Paula Rodrigues  ,2,2,2,100
86,8000,                Avenida Almirante Saldanha da Gama  ,3,5,3,190
87,1400,                Rua Sampaio Moreira ,1,1,1,50
88,1800,                Avenida General Francisco Glicério  ,1,1,1,60
89,4400,                Rua Tolentino Filgueiras  ,2,2,2,78
90,1580,                Rua Paraíba ,2,2,2,70
91,3500,                Avenida Marechal Deodoro ,3,2,3,131
92,2200,                Rua Saturnino de Brito ,2,3,2,83
93,1600,                Rua Doutor Guilherme Álvaro ,2,1,2,50
94,2500,                Avenida Conselheiro Nébias ,1,2,1,47
95,2900,                Rua Duque de Caxias  ,3,3,3,111
96,4000,                Gonzaga Santos ,2,1,2,79
97,2600,                Avenida Bartolomeu de Gusmão ,1,2,1,63
98,3300,                Rua Tolentino Filgueiras  ,1,1,1,52
99,2600,                Rua  de Julho ,2,1,2,60
100,1600,                Avenida Bernardino de Campos ,2,1,2,80
101,5000,                Rua Euclides da Cunha  ,3,2,3,87
102,1800,                Avenida Presidente Wilson ,1,1,1,40
103,5000,                Rua José Caballero ,2,2,2,80
104,6000,                Avenida Presidente Wilson ,4,4,4,264
105,2000,                Gonzaga Santos ,1,1,1,75
106,1500,                Avenida Bartolomeu de Gusmão  ,1,1,1,47
107,20000,                Rua Minas Gerais  ,4,6,4,264
108,9000,                Avenida Doutor Epitácio Pessoa  ,4,5,4,204
109,2400,                Rua da Liberdade ,2,2,2,95
110,2500,                Rua Paraguai ,3,2,3,148
111,1800,                Avenida General San Martin ,2,1,2,60
112,1800,                Rua Euclides da Cunha ,1,2,1,64
113,2000,                Avenida Bartolomeu de Gusmão ,1,1,1,58
114,2500,                Rua Rio Grande do Sul ,1,1,1,48
115,3699,                Rua Doutor Luís de Faria ,3,4,3,150
116,4300,                Rua Mário Carpenter ,3,5,3,198
117,5200,                Avenida Rei Alberto I ,3,3,3,132
118,3500,                Avenida Presidente Wilson  ,2,2,2,69
119,1100,                Avenida Doutor Epitácio Pessoa ,1,1,1,35
120,2700,                Avenida Conselheiro Nébias  ,1,2,1,47
121,2500,                Rua Doutor Artur Porchat de Assis ,1,1,1,40
122,1300,                Avenida Almirante Cochrane ,1,2,1,50
123,3500,                Rua Galeão Carvalhal  ,3,3,3,133
124,5500,                Avenida Bartolomeu de Gusmão ,3,4,3,265
125,2800,                Avenida Afonso Pena ,2,2,2,64
126,1850,                Avenida Senador Pinheiro Machado ,2,1,2,75
127,2000,                Rua Vereador Henrique Soler ,1,2,1,55
128,3500,                Avenida Siqueira Campos  ,3,3,3,110
129,1500,                Rua Professor Pirajá da Silva  ,3,1,3,80
130,1800,                Avenida Ana Costa  ,2,1,2,70
131,2000,                Rua Alexandre Martins ,2,1,2,70
132,3000,                Rua Santa Catarina  ,3,2,3,87
133,1800,                Avenida Bartolomeu de Gusmão ,2,1,2,75
134,2500,                Avenida Bartolomeu de Gusmão  ,2,2,2,90
135,2500,                Rua Doutor Egydio Martins  ,1,1,1,50
136,2200,                Praça Nossa Senhora do Carmo  ,2,1,2,78
137,2300,                Rua Rio de Janeiro  ,1,2,1,50
138,1450,                Rua Bassim Nagib Trabulsi ,1,1,1,45
139,1900,                Rua Euclides da Cunha  ,2,2,2,80
140,1600,                Avenida Barão de Penedo  ,1,2,1,50
141,2600,                Campo Grande Santos ,2,3,2,106
142,2500,                José Menino Santos ,1,2,1,51
143,2400,                Marapé Santos ,2,2,2,63
144,1800,                Avenida Doutor Epitácio Pessoa  ,3,2,3,85
145,3100,                Avenida General Francisco Glicério ,2,2,2,58
146,2800,                Rua Doutor Egydio Martins  ,1,1,1,51
147,1700,                Rua Pasteur ,1,1,1,50
148,1300,                Rua Delphin Moreira  ,2,1,2,70
149,5000,                Rua Frederico Ozanam  ,3,3,3,100
150,3200,                Avenida Marechal Floriano Peixoto ,1,1,1,44
151,2500,                Rua Cásper Líbero ,2,2,2,75
152,2000,                Rua Marcílio Dias  ,2,1,2,72
153,1850,                Rua Alexandre Martins  ,2,2,2,75
154,2550,                Embaré Santos ,3,3,3,112
155,3500,                Praça Engenheiro José Rebouças ,2,4,2,95
156,250,                Avenida Conselheiro Nébias  ,2,2,2,80
157,4000,                Avenida Doutor Bernardino de Campos ,2,3,2,102
158,1800,                Rua Nabuco de Araújo ,1,2,1,48
159,4000,                Ponta da Praia Santos ,3,3,3,154
160,4500,                Rua Paraguassú ,3,2,3,91
161,5000,                Rua André Vidal de Negreiros ,3,5,3,106
162,3200,                Rua Godofredo Fraga  ,2,2,2,63
163,1500,                Avenida Prefeito Doutor Antônio Manoel de Carvalho ,2,2,2,56
164,2800,                Rua Teixeira de Freitas  ,3,2,3,120
165,2190,                Rua Cásper Líbero  ,2,1,2,70
166,2400,                Marapé Santos ,2,2,2,63
167,1600,                Rua Quintino Bocaiúva ,1,1,1,50
168,4200,                Rua Tolentino Filgueiras  ,2,2,2,78
169,6900,                Rua Oswaldo Cruz ,3,3,3,152
170,1400,                Avenida Afonso Pena ,2,1,2,70
171,2800,                Rua Newton Prado  ,1,2,1,55
172,1200,                Boqueirão Santos ,1,1,1,34
173,2800,                Avenida Marechal Floriano Peixoto ,3,2,3,100
174,1800,                Rua Pedro Américo ,2,2,2,80
175,1900,                Rua Ministro Xavier de Toledo  ,2,1,2,77
176,2800,                Avenida Presidente Wilson ,2,2,2,77
177,1800,                Avenida Bernardino de Campos  ,2,3,2,172
178,3000,                Rua Oswaldo Cruz  ,2,3,2,98
179,4500,                Rua Doutor Samuel Baccarat  ,2,2,2,84
180,4500,                Avenida Doutor Moura Ribeiro ,3,3,3,150
181,1900,                Avenida General Francisco Glicério  ,3,2,3,85
182,7300,                Rua Vahia de Abreu ,3,3,3,135
183,7500,                Rua Bahia  ,3,3,3,110
184,3000,                Marapé Santos ,3,2,3,84
185,6500,                Rua Bolivar ,4,5,4,240
186,4400,                José Menino Santos ,3,3,3,100
187,2700,                Ponta da Praia Santos ,3,2,3,77
188,1800,                Avenida Bartolomeu de Gusmão  ,1,1,1,70
189,3000,                Rua Tolentino Filgueiras  ,1,1,1,48
190,2000,                Rua Marcelo Ribeiro de Mendonça ,1,1,1,45
191,2900,                Avenida Marechal Floriano Peixoto ,3,2,3,110
192,2200,                Rua Senador Lacerda Franco  ,3,2,3,87
193,2000,                Rua Guaibê ,2,1,2,75
194,4500,                Avenida Washington Luiz  ,3,4,3,130
195,1600,                Rua Paraíba ,2,2,2,70
196,2700,                Avenida Ana Costa ,2,3,2,95
197,1400,                Campo Grande Santos ,2,1,2,65
198,3800,                Avenida Marechal Floriano Peixoto  ,1,1,1,45
199,3000,                Avenida Ana Costa  ,2,2,2,58
200,1800,                Avenida Doutor Bernardino de Campos  ,2,1,2,75
201,1850,                Ponta da Praia Santos ,2,2,2,85
202,1700,                Gonzaga Santos ,2,2,2,75
203,4100,                Rua República do Equador ,2,4,2,111
204,25000,                Avenida Presidente Wilson ,4,6,4,493
205,1600,                Rua Olavo Bilac ,1,1,1,54
206,3500,                Rua Pernambuco ,3,3,3,150
207,2800,                Gonzaga Santos ,2,3,2,140
208,3700,                Rua Pernambuco  ,3,5,3,130
209,2900,                Campo Grande Santos ,3,3,3,111
210,2500,                Embaré Santos ,2,2,2,80
211,2100,                Avenida Doutor Epitácio Pessoa ,1,1,1,48
212,1700,                Aparecida Santos ,3,1,3,89
213,5999,                Rua Doutor Luís Suplicy  ,3,4,3,120
214,2700,                Avenida Senador Pinheiro Machado ,2,2,2,110
215,2500,                Avenida Washington Luís ,3,2,3,120
216,8500,                Embaré Santos ,2,3,2,157
217,2400,                Rua Pindorama ,2,1,2,64
218,8000,                Rua Oswaldo Cruz ,4,2,4,300
219,2500,                Avenida Pedro Lessa ,2,2,2,100
220,1800,                Marapé Santos ,2,2,2,70
221,2800,                Rua Carlos Afonseca ,2,2,2,110
222,1220,                Rua Doutor Egydio Martins ,2,2,2,119
223,1950,                Rua Dona Ana Nery  ,2,2,2,89
224,1650,                Avenida Presidente Wilson ,1,1,1,65
225,2250,                Rua Paraná  ,2,1,2,124
226,1500,                Avenida Conselheiro Rodrigues Alves  ,2,1,2,10
227,1100,                Aparecida Santos ,1,1,1,35
228,5000,                Avenida Rei Alberto I ,3,4,3,132
229,3000,                Avenida dos Bancários ,2,2,2,105
230,1800,                Avenida Presidente Wilson ,1,1,1,40
231,2300,                Rua Doutor Luís de Faria ,2,1,2,58
232,3600,                Rua Guaibe  ,3,4,3,118
233,1550,                Rua João Caetano ,2,1,2,68
234,2600,                Avenida General Francisco Glicério ,1,1,1,52
235,3300,                Rua José Caballero ,2,1,2,52
236,3300,                Gonzaga Santos ,2,2,2,90
237,2500,                Rua André Vidal de Negreiros  ,2,3,2,145
238,1900,                José Menino Santos ,1,1,1,50
239,3500,                Rua São José ,1,2,1,56
240,2200,                Avenida Bartolomeu de Gusmão  ,2,1,2,85
241,1590,                Rua Doutor Artur Porchat de Assis ,1,1,1,45
242,2500,                Avenida Senador Feijó ,2,2,2,69
243,1950,                Rua Professor Torres Homem ,1,1,1,60
244,1900,                Avenida Marechal Floriano Peixoto  ,2,2,2,68
245,2000,                Avenida Presidente Wilson ,1,1,1,60
246,1140,                Avenida Bernardino de Campos  ,1,1,1,50
247,2100,                Rua Jorge Tibiriçá  ,2,1,2,80
248,2200,                Rua Maestro Heitor Vila Lobos ,2,2,2,95
249,3200,                Rua Godofredo Fraga ,2,1,2,55
250,6000,                Rua Jorge Tibiriçá ,3,4,3,160
251,1700,                Rua Emílio Ribas ,2,2,2,82
252,2800,                José Menino Santos ,2,2,2,77
253,7500,                Avenida Washington Luís ,4,5,4,219
254,1250,                Rua Rodrigo Silva ,2,1,2,60
255,5000,                Aparecida Santos ,3,3,3,96
256,6800,                Rua Bahia ,2,4,2,106
257,4500,                Rua Doutor Samuel Baccarat ,2,3,2,84
258,1950,                Rua República do Peru  ,2,2,2,80
259,1500,                Avenida Doutor Epitácio Pessoa  ,1,1,1,55
260,1400,                Macuco Santos ,2,1,2,65
261,1200,                Marapé Santos ,2,2,2,100
262,3200,                Rua Pasteur  ,2,2,2,68
263,4000,                Rua Euclides da Cunha ,3,2,3,90
264,2500,                Avenida Doutor Epitácio Pessoa  ,1,2,1,57
265,1500,                Avenida Prefeito Doutor Antônio Manoel de Carvalho  ,2,1,2,65
266,2500,                Rua Marcelo Ribeiro de Mendonça ,2,2,2,62
267,1400,                Avenida Bartolomeu de Gusmão ,1,1,1,53
268,4300,                Gonzaga Santos ,2,2,2,80
269,1900,                Marapé Santos ,2,1,2,85
270,1700,                Rua Frei Vital  ,2,1,2,85
271,5500,                Rua Eloy Fernandes ,4,4,4,252
272,1600,                Gonzaga Santos ,2,1,2,64
273,1200,                Avenida Doutor Epitácio Pessoa ,1,1,1,28
274,2500,                Gonzaga Santos ,2,2,2,72
275,9500,                Ponta da Praia Santos ,3,5,3,200
276,1800,                Rua Barão de Paranapiacaba ,1,1,1,60
277,1300,                Aparecida Santos ,2,1,2,47
278,1700,                Rua Gonçalves Ledo  ,2,2,2,70
279,8000,                Rua Machado de Assis ,3,4,3,204
280,4500,                Rua Carlos Afonseca ,3,3,3,130
281,2200,                Rua Professor Torres Homem  ,2,2,2,80
282,4850,                Rua Mato Grosso ,3,4,3,145
283,1750,                Rua Emílio Ribas  ,1,1,1,50
284,3000,                Rua Doutor Egydio Martins  ,1,1,1,51
285,1600,                Praça Washington  ,1,1,1,65
286,2600,                Gonzaga Santos ,2,2,2,113
287,3200,                Marapé Santos ,3,2,3,83
288,1110,                Avenida Presidente Wilson ,1,1,1,42
289,1500,                Avenida Doutor Epitácio Pessoa  ,1,1,1,55
290,1600,                Rua Doutor Eduardo Dias Coelho  ,1,1,1,75
291,5000,                Avenida Rei Alberto I ,3,3,3,132
292,1750,                Rua Godofredo Fraga  ,3,3,3,75
293,1200,                Rua Flaminio Levy ,2,1,2,69
294,3500,                Rua Tolentino Filgueiras ,1,1,1,54
295,1600,                Rua Alexandre Herculano  ,2,1,2,70
296,1400,                Rua Doutor Lobo Viana ,2,1,2,60
297,4200,                Rua Bahia ,2,1,2,77
298,1700,                Boqueirão Santos ,2,2,2,58
299,2300,                Boqueirão Santos ,2,2,2,70
300,2000,                Campo Grande Santos ,2,1,2,107
301,4500,                Rua Frederico Ozanam  ,3,2,3,100
302,2230,                Gonzaga Santos ,3,2,3,90
303,2600,                Marapé Santos ,2,2,2,63
304,2300,                Rua Maestro Heitor Vila Lobos ,3,2,3,90
305,5500,                Rua Doutor Alfredo Porchat ,3,4,3,120
306,2400,                Rua da Liberdade  ,2,2,2,94
307,2500,                Avenida Conselheiro Nébias ,1,1,1,47
308,3500,                Rua Doutor Luís Suplicy ,2,2,2,134
309,2000,                Rua Doutor Assis Corrêa ,3,2,3,110
310,3000,                Rua Espírito Santo ,3,3,3,110
311,3000,                Avenida General Francisco Glicério  ,3,2,3,79
312,1950,                Pompéia Santos ,1,1,1,60
313,1500,                Rua Soares de Camargo  ,1,1,1,66
314,2580,                Avenida Bartolomeu de Gusmão ,3,3,3,210
315,3000,                Rua Professor Carlos Escobar  ,2,2,2,81
316,4500,                Avenida Doutor Epitácio Pessoa  ,2,3,2,105
317,1600,                Rua Napoleão Laureano  ,2,2,2,80
318,2300,                Marapé Santos ,2,2,2,63
319,2400,                Rua Doutor Artur Porchat de Assis ,2,2,2,72
320,1100,                Rua Alfredo Albertini  ,1,1,1,78
321,3890,                Rua Dona Maria Máximo ,3,3,3,94
322,2500,                Rua Venâncio José Lisboa ,3,2,3,125
323,3300,                Rua Galeão Carvalhal ,2,1,2,55
324,1900,                Avenida Bartolomeu de Gusmão ,1,2,1,48
325,4000,                Rua José Caballero ,1,2,1,57
326,3000,                Rua Euclides da Cunha ,2,2,2,89
327,3300,                Avenida Bernardino de Campos  ,3,3,3,107
328,2160,                Gonzaga Santos ,3,4,3,168
329,3500,                Ponta da Praia Santos ,2,2,2,84
330,1300,                Avenida Marechal Floriano Peixoto  ,2,2,2,90
331,3200,                Boqueirão Santos ,1,1,1,50
332,1400,                Rua Cidade de Antióquia  ,2,1,2,75
333,3200,                Avenida Doutor Epitácio Pessoa ,3,3,3,180
334,2800,                Rua Major Santos Silva ,3,3,3,120
335,4200,                Avenida Marechal Deodoro ,3,4,3,180
336,5500,                Avenida Rei Alberto I  ,3,4,3,132
337,1700,                Vila Mathias Santos ,1,1,1,48
338,3300,                Rua Alexandre Herculano ,3,3,3,198
339,2800,                Rua José Caballero ,1,1,1,69
340,3000,                José Menino Santos ,3,3,3,156
341,3000,                Rua Euclides da Cunha ,2,2,2,93
342,1200,                Avenida Doutor Epitácio Pessoa  ,1,1,1,25
343,4000,                Rua Doutor Galeão Carvalhal  ,3,3,3,124
344,1789,                Avenida Marechal Deodoro  ,2,3,2,140
345,1700,                Rua Professor Reinaldo Porchat ,2,1,2,70
346,5500,                Rua República do Equador ,3,4,3,111
347,2400,                Marapé Santos ,2,2,2,63
348,3000,                Gonzaga Santos ,2,2,2,102
349,4500,                Aparecida Santos ,2,3,2,115
350,2000,                Rua Pernambuco ,2,2,2,76
351,1600,                Rua Doutor Arnaldo de Carvalho ,2,1,2,65
352,2500,                Avenida Marechal Floriano Peixoto ,2,2,2,70
353,4000,                Rua Colômbia  ,3,3,3,200
354,1400,                Gonzaga Santos ,2,1,2,71
355,1500,                Rua Galeão Carvalhal  ,1,1,1,35
356,3500,                Rua Rio Grande do Norte ,3,3,3,109
357,5000,                Avenida Vicente de Carvalho ,2,4,2,200
358,2500,                Avenida Ana Costa ,2,2,2,105
359,1550,                Ponta da Praia Santos ,1,1,1,43
360,4100,                Rua República do Equador ,3,4,3,111
361,4500,                Rua Euclides da Cunha ,3,2,3,88
362,2700,                Praça Independência  ,2,2,2,100
363,7900,                Avenida Almirante Saldanha da Gama  ,3,5,3,200
364,1200,                Aparecida Santos ,1,1,1,35
365,1750,                Gonzaga Santos ,1,1,1,60
366,3600,                Rua José Caballero ,2,2,2,70
367,4500,                Marapé Santos ,3,,3,150
368,1800,                Vila Belmiro Santos ,1,1,1,51
369,2000,                Avenida Conselheiro Nébias  ,2,2,2,50
370,1400,                Encruzilhada Santos ,2,1,2,62
371,3200,                Rua Castro Alves  ,3,2,3,180
372,4500,                Avenida Presidente Wilson ,3,3,3,140
373,2400,                Vila Mathias Santos ,2,2,2,82
374,3000,                José Menino Santos ,3,3,3,156
375,1800,                Boqueirão Santos ,2,2,2,65
376,1500,                Rua Paraíba  ,2,2,2,75
377,6000,                Rua Frederico Ozanam  ,3,3,3,100
378,6000,                Avenida Senador César Lacerda Vergueiro  ,2,3,2,135
379,2250,                Avenida dos Bancários ,2,1,2,78
380,2800,                Avenida Doutor Moura Ribeiro  ,2,2,2,64
381,1600,                Avenida Pedro Lessa ,2,1,2,65
382,3800,                Avenida Presidente Wilson  ,1,1,1,54
383,4700,                Avenida Presidente Wilson  ,3,4,3,134
384,2400,                Avenida Coronel Joaquim Montenegro ,3,3,3,106
385,3000,                Avenida Doutor Moura Ribeiro ,3,2,3,83
386,1750,                Rua Carlos Gomes  ,3,1,3,75
387,1500,                Boqueirão Santos ,1,1,1,59
388,2200,                Avenida Doutor Epitácio Pessoa  ,2,2,2,130
389,7800,                Avenida Almirante Saldanha da Gama  ,3,5,3,189
390,3500,                Boqueirão Santos ,3,2,3,170
391,4300,                Rua Professor Carlos Escobar ,2,2,2,78
392,4000,                Rua Oswaldo Cruz  ,3,3,3,150
393,1500,                Avenida Presidente Wilson ,1,1,1,37
394,2000,                Rua Antônio Ribeirão ,2,2,2,76
395,4000,                Rua Bahia  ,1,1,1,40
396,2000,                Rua Pernambuco ,2,2,2,78
397,1990,                Rua Duque de Caxias  ,1,1,1,45
398,10000,                Avenida Presidente Wilson ,2,2,2,128
399,4500,                Rua Tolentino Filgueiras  ,2,2,2,50
400,2000,                Rua Governador Pedro de Tolêdo  ,1,1,1,65
401,3500,                Rua Doutor Samuel Baccarat ,1,1,1,47
402,3000,                Avenida Washington Luís  ,3,2,3,110
403,1600,                Rua Alexandre Herculano  ,2,2,2,60
404,2800,                Avenida Presidente Wilson ,2,2,2,77
405,1800,                Avenida Conselheiro Nébias ,2,1,2,73
406,4700,                Gonzaga Santos ,3,4,3,135
407,4500,                Rua Tolentino Filgueiras ,2,2,2,100
408,3900,                Rua Oswaldo Cruz ,2,3,2,99
409,1000,                Boqueirão Santos ,1,1,1,45
410,1500,                Rua Rodrigo Silva  ,2,1,2,70
411,2700,                Embaré Santos ,1,2,1,52
412,4500,                José Menino Santos ,4,4,4,200
413,1154,                Campo Grande Santos ,2,1,2,60
414,2100,                Rua Soares de Camargo  ,3,2,3,84
415,3500,                Rua Galeão Carvalhal ,2,2,2,180
416,2200,                Avenida Marechal Floriano Peixoto ,3,3,3,100
417,1700,                Rua Goiás ,2,2,2,93
418,1900,                Avenida Governador Fernando Costa ,2,2,2,93
419,2790,                Gonzaga Santos ,3,2,3,110
420,2500,                Aparecida Santos ,2,1,2,94
421,1300,                Rua Evaristo da Veiga  ,2,1,2,75
422,2200,                Rua Paraíba ,3,2,3,125
423,1300,                Rua Liberdade ,2,1,2,60
424,2700,                Marapé Santos ,2,2,2,64
425,2300,                Boqueirão Santos ,1,2,1,47
426,1250,                Avenida Coronel Joaquim Montenegro  ,2,1,2,70
427,4000,                Rua Galeão Carvalhal ,2,2,2,75
428,2700,                Rua Euclides da Cunha ,2,1,2,64
429,2400,                Rua Frei Francisco Sampaio ,3,3,3,106
430,3450,                Avenida Almirante Cochrane ,3,5,3,137
431,2700,                Boqueirão Santos ,3,2,3,120
432,1350,                Rua Jorge Tibiriçá  ,1,1,1,60
433,2400,                Rua Clay Presgrave do Amaral  ,2,2,2,80
434,3000,                Rua José Caballero  ,2,2,2,82
435,3000,                José Menino Santos ,2,4,2,101
436,5800,                Rua Bahia  ,2,2,2,82
437,1300,                Avenida Senador Pinheiro Machado ,1,1,1,50
438,1100,                Avenida Doutor Epitácio Pessoa ,1,1,1,28
439,5000,                Aparecida Santos ,3,4,3,160
440,1250,                Ponta da Praia Santos ,1,1,1,49
441,13000,                Rua Clay Presgrave do Amaral  ,4,5,4,181
442,2200,                Boqueirão Santos ,2,2,2,86
443,1700,                Rua Alexandre Herculano  ,2,2,2,70
444,3000,                Boqueirão Santos ,2,3,2,83
445,9000,                Embaré Santos ,3,5,3,170
446,2700,                Avenida General Francisco Glicério  ,3,3,3,80
447,3200,                Rua Soares de Camargo  ,2,2,2,60
448,3600,                Rua Alfredo Ximenes  ,2,2,2,80
449,1800,                Estuário Santos ,2,2,2,68
450,2600,                Ponta da Praia Santos ,3,1,3,110
451,1700,                Avenida Vicente de Carvalho ,2,1,2,58
452,6500,                Avenida Presidente Wilson  ,2,2,2,81
453,3600,                Rua Tolentino Filgueiras  ,1,1,1,48
454,2800,                Rua Doutor Egydio Martins  ,1,1,1,57
455,2300,                Rua Vereador Rocha e Silva  ,2,1,2,62
456,4000,                Rua Imperatriz Leopoldina ,2,3,2,71
457,2200,                Ponta da Praia Santos ,2,1,2,113
458,2200,                Avenida Doutor Epitácio Pessoa ,1,1,1,45
459,3800,                Embaré Santos ,2,3,2,70
460,5500,                Pompéia Santos ,3,5,3,136
461,1100,                Embaré Santos ,1,2,1,60
462,1400,                Avenida Barão de Penedo  ,1,1,1,60
463,2600,                Rua Comendador Alfaia Rodrigues ,2,2,2,88
464,2600,                Avenida Marechal Floriano Peixoto  ,2,2,2,100
465,3800,                Vila Matias Santos ,3,4,3,180
466,2800,                Avenida Doutor Moura Ribeiro ,2,2,2,63
467,5000,                Avenida Almirante Cochrane ,3,3,3,150
468,1700,                Rua Doutor Armando de Sales Oliveira  ,2,2,2,75
469,2200,                Avenida Bartolomeu de Gusmão ,2,2,2,95
470,3948,                Avenida Marechal Deodoro ,2,4,2,95
471,4200,                Avenida Bernardino de Campos ,2,3,2,92
472,3000,                Avenida Presidente Wilson  ,3,2,3,146
473,2300,                Marapé Santos ,2,2,2,63
474,1500,                Rua Teixeira de Freitas  ,2,1,2,90
475,2500,                Avenida Bartolomeu de Gusmão ,2,2,2,80
476,2200,                Ponta da Praia Santos ,2,2,2,94
477,4200,                José Menino Santos ,3,3,3,110
478,1500,                Avenida Marechal Deodoro ,1,1,1,35
479,1300,                Rua Coronel Cândido Gomes ,1,1,1,44
480,3500,                Rua Tolentino Filgueiras  ,1,1,1,52
481,8000,                Avenida Almirante Cochrane  ,3,5,3,220
482,5000,                Avenida Rei Alberto I ,3,4,3,132
483,2400,                Rua Doutor Artur Porchat de Assis  ,2,2,2,72
484,4500,                Rua Paraíba ,3,4,3,96
485,1200,                Rua Guaiaó  ,1,1,1,50
486,1700,                Rua Paraíba ,2,2,2,70
487,6800,                Rua Bahia  ,2,4,2,106
488,1500,                Avenida Bartolomeu de Gusmão ,1,1,1,45
489,1500,                Rua Quintino Bocaiúva  ,1,1,1,50
